goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/stack
BenchmarkFillTestValueStack/10-4                 	 3000000	       423 ns/op	     368 B/op	      13 allocs/op
BenchmarkFillTestValueStack/10-4                 	 3000000	       420 ns/op	     368 B/op	      13 allocs/op
BenchmarkFillTestValueStack/10-4                 	 3000000	       420 ns/op	     368 B/op	      13 allocs/op
BenchmarkFillTestValueStack/10-4                 	 3000000	       420 ns/op	     368 B/op	      13 allocs/op
BenchmarkFillTestValueStack/10-4                 	 3000000	       422 ns/op	     368 B/op	      13 allocs/op
BenchmarkFillTestValueStack/100-4                	  500000	      3304 ns/op	    4368 B/op	     105 allocs/op
BenchmarkFillTestValueStack/100-4                	  500000	      3323 ns/op	    4368 B/op	     105 allocs/op
BenchmarkFillTestValueStack/100-4                	  500000	      3308 ns/op	    4368 B/op	     105 allocs/op
BenchmarkFillTestValueStack/100-4                	  500000	      3300 ns/op	    4368 B/op	     105 allocs/op
BenchmarkFillTestValueStack/100-4                	  500000	      3301 ns/op	    4368 B/op	     105 allocs/op
BenchmarkFillTestValueStack/100-4                	  500000	      3325 ns/op	    4368 B/op	     105 allocs/op
BenchmarkFillTestValueStack/100-4                	  500000	      3309 ns/op	    4368 B/op	     105 allocs/op
BenchmarkFillTestValueStack/100-4                	  500000	      3311 ns/op	    4368 B/op	     105 allocs/op
BenchmarkFillTestValueStack/100-4                	  500000	      3325 ns/op	    4368 B/op	     105 allocs/op
BenchmarkFillTestValueStack/100-4                	  500000	      3305 ns/op	    4368 B/op	     105 allocs/op
BenchmarkFillTestValueStack/1000-4               	   50000	     26657 ns/op	   26960 B/op	    1006 allocs/op
BenchmarkFillTestValueStack/1000-4               	   50000	     26645 ns/op	   26960 B/op	    1006 allocs/op
BenchmarkFillTestValueStack/1000-4               	   50000	     26843 ns/op	   26960 B/op	    1006 allocs/op
BenchmarkFillTestValueStack/1000-4               	   50000	     26800 ns/op	   26960 B/op	    1006 allocs/op
BenchmarkFillTestValueStack/1000-4               	   50000	     26741 ns/op	   26960 B/op	    1006 allocs/op
BenchmarkFillTestValueStack/1000-4               	   50000	     26933 ns/op	   26960 B/op	    1006 allocs/op
BenchmarkFillTestValueStack/1000-4               	   50000	     27006 ns/op	   26960 B/op	    1006 allocs/op
BenchmarkFillTestValueStack/1000-4               	   50000	     26814 ns/op	   26960 B/op	    1006 allocs/op
BenchmarkFillTestValueStack/1000-4               	   50000	     26662 ns/op	   26960 B/op	    1006 allocs/op
BenchmarkFillTestValueStack/1000-4               	   50000	     26762 ns/op	   26960 B/op	    1006 allocs/op
BenchmarkFillTestValueStack/10000-4              	    5000	    261178 ns/op	  245120 B/op	   10024 allocs/op
BenchmarkFillTestValueStack/10000-4              	    5000	    262491 ns/op	  245120 B/op	   10024 allocs/op
BenchmarkFillTestValueStack/10000-4              	    5000	    263412 ns/op	  245120 B/op	   10024 allocs/op
BenchmarkFillTestValueStack/10000-4              	    5000	    261525 ns/op	  245120 B/op	   10024 allocs/op
BenchmarkFillTestValueStack/10000-4              	    5000	    266154 ns/op	  245120 B/op	   10024 allocs/op
BenchmarkFillTestValueStack/10000-4              	    5000	    268389 ns/op	  245120 B/op	   10024 allocs/op
BenchmarkFillTestValueStack/10000-4              	    5000	    262502 ns/op	  245120 B/op	   10024 allocs/op
BenchmarkFillTestValueStack/10000-4              	    5000	    262058 ns/op	  245120 B/op	   10024 allocs/op
BenchmarkFillTestValueStack/10000-4              	    5000	    263639 ns/op	  245120 B/op	   10024 allocs/op
BenchmarkFillTestValueStack/10000-4              	    5000	    261409 ns/op	  245120 B/op	   10024 allocs/op
BenchmarkFillTestValueStack/100000-4             	     500	   3343918 ns/op	 2410240 B/op	  100200 allocs/op
BenchmarkFillTestValueStack/100000-4             	     300	   3433435 ns/op	 2410240 B/op	  100200 allocs/op
BenchmarkFillTestValueStack/100000-4             	     500	   3482115 ns/op	 2410240 B/op	  100200 allocs/op
BenchmarkFillTestValueStack/100000-4             	     500	   3526078 ns/op	 2410240 B/op	  100200 allocs/op
BenchmarkFillTestValueStack/100000-4             	     500	   3450550 ns/op	 2410240 B/op	  100200 allocs/op
BenchmarkFillTestValueStack/100000-4             	     500	   3691764 ns/op	 2410240 B/op	  100200 allocs/op
BenchmarkFillTestValueStack/100000-4             	     500	   3510676 ns/op	 2410240 B/op	  100200 allocs/op
BenchmarkFillTestValueStack/100000-4             	     500	   3629761 ns/op	 2410240 B/op	  100200 allocs/op
BenchmarkFillTestValueStack/100000-4             	     500	   3198938 ns/op	 2410240 B/op	  100200 allocs/op
BenchmarkFillTestValueStack/100000-4             	     500	   3370181 ns/op	 2410240 B/op	  100200 allocs/op
BenchmarkFillTestValueStack/1000000-4            	      50	 103945225 ns/op	24053200 B/op	 1001958 allocs/op
BenchmarkFillTestValueStack/1000000-4            	      50	  68726863 ns/op	24053200 B/op	 1001958 allocs/op
BenchmarkFillTestValueStack/1000000-4            	      50	  99001088 ns/op	24053200 B/op	 1001958 allocs/op
BenchmarkFillTestValueStack/1000000-4            	      50	  40305917 ns/op	24053200 B/op	 1001958 allocs/op
BenchmarkFillTestValueStack/1000000-4            	      50	  82223529 ns/op	24053200 B/op	 1001958 allocs/op
BenchmarkFillTestValueStack/1000000-4            	      50	  96506036 ns/op	24053200 B/op	 1001958 allocs/op
BenchmarkFillTestValueStack/1000000-4            	      50	  92000876 ns/op	24053200 B/op	 1001958 allocs/op
BenchmarkFillTestValueStack/1000000-4            	      50	 102781231 ns/op	24053200 B/op	 1001958 allocs/op
BenchmarkFillTestValueStack/1000000-4            	      50	  70651271 ns/op	24053200 B/op	 1001958 allocs/op
BenchmarkFillTestValueStack/1000000-4            	      50	 101348882 ns/op	24053200 B/op	 1001958 allocs/op
BenchmarkRefillTestValueStack/0-4                	100000000	        13.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillTestValueStack/0-4                	100000000	        13.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillTestValueStack/0-4                	100000000	        13.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillTestValueStack/0-4                	100000000	        13.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillTestValueStack/0-4                	100000000	        13.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillTestValueStack/0-4                	100000000	        13.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillTestValueStack/0-4                	100000000	        13.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillTestValueStack/0-4                	100000000	        13.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillTestValueStack/0-4                	100000000	        13.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillTestValueStack/0-4                	100000000	        13.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRefillTestValueStack/1-4                	 5000000	       262 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillTestValueStack/1-4                	 5000000	       262 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillTestValueStack/1-4                	 5000000	       263 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillTestValueStack/1-4                	 5000000	       269 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillTestValueStack/1-4                	 5000000	       264 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillTestValueStack/1-4                	 5000000	       261 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillTestValueStack/1-4                	 5000000	       263 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillTestValueStack/1-4                	 5000000	       261 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillTestValueStack/1-4                	 5000000	       262 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillTestValueStack/1-4                	 5000000	       261 ns/op	     160 B/op	      10 allocs/op
BenchmarkRefillTestValueStack/10-4               	  500000	      2594 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillTestValueStack/10-4               	  500000	      2541 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillTestValueStack/10-4               	  500000	      2563 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillTestValueStack/10-4               	  500000	      2532 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillTestValueStack/10-4               	  500000	      2542 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillTestValueStack/10-4               	  500000	      2563 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillTestValueStack/10-4               	  500000	      2528 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillTestValueStack/10-4               	  500000	      2577 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillTestValueStack/10-4               	  500000	      2525 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillTestValueStack/10-4               	  500000	      2548 ns/op	    1600 B/op	     100 allocs/op
BenchmarkRefillTestValueStack/100-4              	   50000	     24651 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillTestValueStack/100-4              	   50000	     24758 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillTestValueStack/100-4              	   50000	     24781 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillTestValueStack/100-4              	   50000	     24756 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillTestValueStack/100-4              	   50000	     24824 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillTestValueStack/100-4              	   50000	     24727 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillTestValueStack/100-4              	   50000	     24532 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillTestValueStack/100-4              	   50000	     24747 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillTestValueStack/100-4              	   50000	     24859 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillTestValueStack/100-4              	   50000	     24786 ns/op	   16000 B/op	    1000 allocs/op
BenchmarkRefillTestValueStack/1000-4             	    5000	    245883 ns/op	  160002 B/op	   10000 allocs/op
BenchmarkRefillTestValueStack/1000-4             	    5000	    248519 ns/op	  160002 B/op	   10000 allocs/op
BenchmarkRefillTestValueStack/1000-4             	    5000	    246191 ns/op	  160002 B/op	   10000 allocs/op
BenchmarkRefillTestValueStack/1000-4             	    5000	    251358 ns/op	  160002 B/op	   10000 allocs/op
BenchmarkRefillTestValueStack/1000-4             	    5000	    246283 ns/op	  160002 B/op	   10000 allocs/op
BenchmarkRefillTestValueStack/1000-4             	    5000	    245774 ns/op	  160002 B/op	   10000 allocs/op
BenchmarkRefillTestValueStack/1000-4             	    5000	    242784 ns/op	  160002 B/op	   10000 allocs/op
BenchmarkRefillTestValueStack/1000-4             	    5000	    242260 ns/op	  160002 B/op	   10000 allocs/op
BenchmarkRefillTestValueStack/1000-4             	    5000	    249512 ns/op	  160002 B/op	   10000 allocs/op
BenchmarkRefillTestValueStack/1000-4             	    5000	    242591 ns/op	  160002 B/op	   10000 allocs/op
BenchmarkRefillTestValueStack/10000-4            	     500	   3242002 ns/op	 1600170 B/op	  100000 allocs/op
BenchmarkRefillTestValueStack/10000-4            	     500	   3176794 ns/op	 1600170 B/op	  100000 allocs/op
BenchmarkRefillTestValueStack/10000-4            	     500	   2980330 ns/op	 1600170 B/op	  100000 allocs/op
BenchmarkRefillTestValueStack/10000-4            	     500	   2977332 ns/op	 1600170 B/op	  100000 allocs/op
BenchmarkRefillTestValueStack/10000-4            	     500	   3116661 ns/op	 1600170 B/op	  100000 allocs/op
BenchmarkRefillTestValueStack/10000-4            	     500	   3097510 ns/op	 1600170 B/op	  100000 allocs/op
